"","taxon","P","FC","Change","label"
"85","Merdibacter",0,0.368950170405707,"DOWN","Merdibacter"
"86","Merdisoma",0.0236544103952894,1.61853674004911,"Nosig",""
"87","Mucispirillum",0.677064575493006,1.20042717144084,"Nosig",""
"88","Muribaculaceae_genus_no_rank",0.407754340032115,1.22878307696101,"Nosig",""
"89","Muribaculum",0.410467462180063,1.31001805309225,"Nosig",""
"90","Nanosyncoccus",0,5.43624470682159,"UP","Nanosyncoccus"
"91","NM07-P-09",0.238300452434492,0.584898080394984,"Nosig",""
"92","Odoribacter_865974",0.020377419404097,0.298557543007618,"DOWN","Odoribacter_865974"
"93","Oribacterium",0.89381142562807,1.0530651439501,"Nosig",""
"94","Oscillospiraceae_88309_genus_no_rank",0.151075210081571,0.806234843485087,"Nosig",""
"95","Paludicola",0.0604105712045908,0.431812607862101,"Nosig",""
"96","Parabacteroides_B_862066",0.15780488139304,1.64133487890338,"Nosig",""
"97","Paralachnospira",0.652229781411818,1.1086089802764,"Nosig",""
"98","Paramuribaculum",0.0285787031650498,2.5570292475342,"UP","Paramuribaculum"
"99","Parasutterella",0.282844025551182,1.30265330758163,"Nosig",""
"100","Pelethenecus",0.530517826693988,1.30072230217317,"Nosig",""
"101","Peptococcus",0.343669947142281,1.83588867937928,"Nosig",""
"102","Phocea",0.605997301377684,1.27996838987955,"Nosig",""
"103","Porcincola",0.00511355785611442,0.585281960395875,"Nosig",""
"104","Pseudobutyricicoccus",0.0134916731797358,0.605721771105604,"Nosig",""
"105","QAMM01",0.915500669384418,0.928553332196359,"Nosig",""
"106","QWKK01",0.52271403592584,0.624550576279153,"Nosig",""
"107","Rikenellaceae_genus_no_rank",0.934690427002244,0.948511290549558,"Nosig",""
"108","Robinsoniella",0.768003935502346,0.791125578196449,"Nosig",""
"109","Ructibacterium",0.812698630953826,1.14449526241704,"Nosig",""
"110","RUG12438",0.280233157430029,1.83467726993581,"Nosig",""
"111","RUG762",0.847889552077905,0.903739658006885,"Nosig",""
"112","Ruminiclostridium_E",0.788976465305326,1.30225034093005,"Nosig",""
"113","Ruminococcaceae_genus_no_rank",0.426467053716783,0.587874178016226,"Nosig",""
"114","Ruminococcus_B",0.00106747185669365,0.371474125431362,"DOWN","Ruminococcus_B"
"115","Ruminococcus_C_58660",0.231365178779743,0.339240730545797,"Nosig",""
"116","Ruthenibacterium",0.621785157579934,0.738448355313777,"Nosig",""
"117","Scatocola",0.392401857699404,0.708156723171584,"Nosig",""
"118","Schaedlerella",0.899552029840282,0.969908497795703,"Nosig",""
"119","Sporofaciens",0.345767745864193,1.16490688912154,"Nosig",""
"120","Streptococcus",0,0.284159169502802,"DOWN","Streptococcus"
"121","Turicibacter",0.445257680066302,1.41535212721278,"Nosig",""
"122","Turicimonas",7.17153260326824e-06,0.434751773431939,"DOWN","Turicimonas"
"123","UBA2658",0.0108667133017761,0.294707322672017,"DOWN","UBA2658"
"124","UBA3263",0.00769178187757341,0.66383509420888,"Nosig",""
"125","UBA3282",0.626870379219086,1.09640355815836,"Nosig",""
"126","UBA644",0.29645273578545,0.588566008747062,"Nosig",""
"127","UBA7173",0.0457323124877607,1.74440444211589,"Nosig",""
"128","UBA737",0.439586145223772,1.67129586628257,"Nosig",""
"129","UBA946",0,0.194755216287224,"DOWN","UBA946"
"130","UMGS1071",0,0.222585569363645,"DOWN","UMGS1071"
"131","UMGS1994",0.941134976095707,1.0425758428481,"Nosig",""
"132","Ventrimonas",0.00161210276191036,0.486581253647736,"DOWN","Ventrimonas"
"133","Ventrisoma",0.0682989181814677,3.34119753301184,"Nosig",""
"134","ZJ304",2.85117185657804e-07,11.1972307994498,"UP","ZJ304"
