Taxa	NEEN.011	NEEN.012	NEEN.013	NEEN.014	NEEN.015	NEEN.016	NEEN.021	NEEN.022	NEEN.023	NEEN.024	NEEN.025	NEEN.026
0286fa7c3a01b5a335fce7363917ad16	0	0	0	17	0	0	0	0	0	0	0	0
0fde62806e4413be1846e836dba2c786	0	10	0	13	0	0	0	11	5	0	11	9
4e786fad777a61be21d3289ba56c326e	0	0	19	0	0	0	0	0	0	0	0	0
950524da5744abc0ef286d09c7f75bc3	0	0	0	0	0	0	0	0	0	0	0	0
c8e34bb10306cd8cc72e42eb1313b7c8	0	0	0	0	0	0	0	0	0	0	0	0
fab19e407fc7d0aa7929a7eae23d8b53	0	0	0	0	0	0	0	0	30	0	0	15
c6f5c4d8343f60687af5d72396766263	0	0	0	0	0	0	0	9	0	0	35	0
70792b6ac0d2c723cec8c12dc6576345	0	0	0	27	0	0	0	0	0	0	0	29
0f276b28ea3ba352f6fd667c1e298c38	15	0	0	0	11	0	14	0	0	0	0	0
ec77b8bc25a3aacda06ec2b5068e295a	0	0	0	0	0	0	0	8	0	0	0	0
81b8512ad01a544a5c6424a7c659ac20	0	0	0	6	0	0	0	0	0	0	0	0
9d5a7a5cf87dec52b55a00426e639f7d	0	0	0	0	20	15	0	0	18	0	0	24
c7618efd9393c801e5152a0b166b20e6	4	0	0	0	0	0	0	0	0	0	0	0
1469ca5085a01fb6f3725632b315675f	0	0	0	0	0	0	0	0	10	0	0	0
11a5f0316ff4f3edb52c1b583a6e1448	0	0	0	0	0	0	0	0	0	0	0	0
30598f0d14cb4af2c3150ebb17667b95	0	5	13	0	0	0	0	0	0	0	16	0
127d029e4712422f69cf80ceb163558b	0	0	0	6	0	0	0	0	0	0	0	0
36d9f553b6f26520e7a6f8671cdde1f5	0	0	0	8	0	0	16	10	0	19	22	0
c5e5fd5c9af649aec207b86dee76d5f3	8	0	10	0	0	0	0	0	0	0	0	0
ee0cbf5dda05dd1c396eed829cd82b77	0	0	0	0	0	0	0	0	0	0	0	0
c4170fd31c9aceb042c699e6c8b0f486	49	29	14	12	28	25	6	0	8	7	8	0
577a82150a9dcd74a90566d7d8711eba	0	0	0	0	0	0	0	0	0	0	0	0
dca8a152f35348bd9540d2c52604fdce	0	17	0	0	14	12	0	0	46	34	25	24
e36be349dea51383ef7c2f26dd242def	0	0	0	0	0	0	0	0	14	0	0	10
a5da7006928ee998fe32cdd9378c856e	0	0	0	0	0	0	12	26	0	9	0	0
df4d1c713c5dba30c53365d6a47af819	52	36	42	65	29	33	52	40	317	32	14	17
ac6339220d6d65fd32be30bd13317b2a	0	0	0	0	0	0	0	0	0	0	0	0
4115cd19d50e5a6b8550c3a1f9a6c75e	9	0	4	0	0	6	0	0	0	0	0	10
761a5b764f64b30ade5356842706afb9	0	0	0	0	0	0	0	0	8	0	0	0
3c01540f689ab74dc5d2346cebc1f09c	10	6	10	0	0	7	15	0	0	0	0	6
04611dabe3583caf155167674ef7e0e4	6	0	0	0	0	0	30	44	47	0	0	0
5e18094f37d33836726fabc09f8e46fc	0	0	0	0	0	14	21	0	0	0	5	3
7da4c046b2e9582e3f885b029541976c	19	13	22	16	6	0	0	0	0	10	0	0
82428f73d298458b5521d85584416970	19	26	23	18	10	12	8	8	38	24	19	30
85c902d02faa7542bbb97dc6bae04808	0	0	0	0	0	0	0	0	0	0	0	0
577803f3876eb718cf8784b21f5ad1de	15	0	0	10	19	0	5	8	27	10	15	22
b72909635060381035aa822951ccee03	0	0	0	0	0	0	0	0	0	0	0	0
fcc58885c1a8654bf710ef3670e09067	5	0	0	2	0	7	3	0	16	0	0	0
8b112a3d78d318b40b46b3880a5ac5ce	0	6	0	0	0	0	0	0	9	0	3	0
